year	instruction	class	student	score	
.Pre-recitation_score_2016	Genie	Pair1_430	ST1	0.590909091	
.Pre-recitation_score_2016	Genie	Pair2_600	ST2	0.545454545	
.Pre-recitation_score_2016	Genie	Pair2_430	ST3	0.5	
.Pre-recitation_score_2016	Genie	Pair1_430	ST4	0.636363636	
.Pre-recitation_score_2016	Genie	Pair1_300	ST5	0.636363636	
.Pre-recitation_score_2016	Genie	Pair2_430	ST6	0.590909091	
.Pre-recitation_score_2016	Genie	Pair2_300	ST7	0.363636364	
.Pre-recitation_score_2016	Genie	Pair1_430	ST8	0.636363636	
.Pre-recitation_score_2016	Genie	Pair1_430	ST9	0.590909091	
.Pre-recitation_score_2016	Genie	Pair1_430	ST10	0.727272727	
.Pre-recitation_score_2016	Genie	Pair1_300	ST11	0.590909091	
.Pre-recitation_score_2016	Genie	Pair2_600	ST12	0.545454545	
.Pre-recitation_score_2016	Genie	Pair2_600	ST13	0.5	
.Pre-recitation_score_2016	Genie	Pair2_730	ST14	0.363636364	
.Pre-recitation_score_2016	Genie	Pair1_300	ST15	0.363636364	
.Pre-recitation_score_2016	Genie	Pair2_300	ST16	0.318181818	
.Pre-recitation_score_2016	Genie	Pair2_300	ST17	0.5	
.Pre-recitation_score_2016	Genie	Pair2_600	ST18	0.681818182	
.Pre-recitation_score_2016	Genie	Pair1_430	ST19	0.409090909	
.Pre-recitation_score_2016	Genie	Pair2_430	ST20	0.545454545	
.Pre-recitation_score_2016	Genie	Pair2_430	ST21	0.5	
.Pre-recitation_score_2016	Genie	Pair2_430	ST22	0.772727273	
.Pre-recitation_score_2016	Genie	Pair1_300	ST23	0.545454545	
.Pre-recitation_score_2016	Genie	Pair2_430	ST24	0.454545455	
.Pre-recitation_score_2016	Genie	Pair1_300	ST25	0.545454545	
.Pre-recitation_score_2016	Genie	Pair2_600	ST26	0.454545455	
.Pre-recitation_score_2016	Genie	Pair2_430	ST27	0.5	
.Pre-recitation_score_2016	Genie	Pair2_730	ST28	0.590909091	
.Pre-recitation_score_2016	Genie	Pair2_730	ST29	0.409090909	
.Pre-recitation_score_2016	Genie	Pair2_300	ST30	0.454545455	
.Pre-recitation_score_2016	Genie	Pair2_430	ST31	0.454545455	
.Pre-recitation_score_2016	Genie	Pair1_730	ST32	0.409090909	
.Pre-recitation_score_2016	Genie	Pair1_730	ST33	0.636363636	
.Pre-recitation_score_2016	Genie	Pair1_300	ST34	0.590909091	
.Pre-recitation_score_2016	Genie	Pair1_430	ST35	0.318181818	
.Pre-recitation_score_2016	Genie	Pair2_430	ST36	0.454545455	
.Pre-recitation_score_2016	Genie	Pair2_600	ST37	0.681818182	
.Pre-recitation_score_2016	Genie	Pair2_730	ST38	0.545454545	
.Pre-recitation_score_2016	Genie	Pair2_300	ST39	0.590909091	
.Pre-recitation_score_2016	Genie	Pair2_600	ST40	0.454545455	
.Pre-recitation_score_2016	Genie	Pair2_430	ST41	0.272727273	
.Pre-recitation_score_2016	Genie	Pair1_300	ST42	0.454545455	
.Pre-recitation_score_2016	Genie	Pair2_730	ST43	0.590909091	
.Pre-recitation_score_2016	Genie	Pair1_300	ST44	0.636363636	
.Pre-recitation_score_2016	Genie	Pair1_730	ST45	0.5	
.Pre-recitation_score_2016	Genie	Pair2_600	ST46	0.545454545	
.Pre-recitation_score_2016	Genie	Pair1_600	ST47	0.5	
.Pre-recitation_score_2016	Genie	Pair1_430	ST48	0.5	
.Pre-recitation_score_2016	Genie	Pair1_430	ST49	0.5	
.Pre-recitation_score_2016	Genie	Pair2_300	ST50	0.409090909	
.Pre-recitation_score_2016	Genie	Pair2_300	ST51	0.454545455	
.Pre-recitation_score_2016	Genie	Pair2_730	ST52	0.454545455	
.Pre-recitation_score_2016	Genie	Pair1_430	ST53	0.5	
.Pre-recitation_score_2016	Genie	Pair2_430	ST54	0.545454545	
.Pre-recitation_score_2016	Genie	Pair1_730	ST55	0.636363636	
.Pre-recitation_score_2016	Genie	Pair2_430	ST56	0.5	
.Pre-recitation_score_2016	Genie	Pair2_430	ST57	0.590909091	
.Pre-recitation_score_2016	Genie	Pair2_600	ST58	0.5	
.Pre-recitation_score_2016	Genie	Pair2_430	ST59	0.5	
