year	instruction	class	student	score
.Pre-recitation_score_2017	Genie	Pair1_130	ST1	0.863636364
.Pre-recitation_score_2017	Genie	Pair1_130	ST2	0.772727273
.Pre-recitation_score_2017	Genie	Pair1_130	ST3	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST4	0.818181818
.Pre-recitation_score_2017	Genie	Pair1_130	ST5	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST6	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST7	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST8	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST9	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST10	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST11	0.909090909
.Pre-recitation_score_2017	Genie	Pair1_130	ST12	0.318181818
.Pre-recitation_score_2017	Genie	Pair1_130	ST13	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST14	0.636363636
.Pre-recitation_score_2017	Genie	Pair1_130	ST15	0.590909091
.Pre-recitation_score_2017	Genie	Pair1_130	ST16	0.863636364
.Pre-recitation_score_2017	Genie	Pair1_130	ST17	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST18	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST19	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST20	0.863636364
.Pre-recitation_score_2017	Genie	Pair1_130	ST21	0.818181818
.Pre-recitation_score_2017	Genie	Pair1_130	ST22	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST23	0.772727273
.Pre-recitation_score_2017	Genie	Pair1_130	ST24	0.909090909
.Pre-recitation_score_2017	Genie	Pair1_130	ST25	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST26	0.681818182
.Pre-recitation_score_2017	Genie	Pair1_130	ST27	0.863636364
.Pre-recitation_score_2017	Genie	Pair1_130	ST28	0.590909091
.Pre-recitation_score_2017	Genie	Pair1_130	ST29	0.909090909
.Pre-recitation_score_2017	Genie	Pair1_130	ST30	0.863636364
.Pre-recitation_score_2017	Genie	Pair1_130	ST31	0.681818182
.Pre-recitation_score_2017	Genie	Pair1_130	ST32	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST33	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST34	1
.Pre-recitation_score_2017	Genie	Pair1_130	ST35	0.863636364
