year	instruction	class	student	score
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST41	1
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST42	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST43	0.818181818
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST44	0.363636364
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST45	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST46	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST47	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST48	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST49	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST50	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST51	0.363636364
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST52	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST53	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST54	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST55	0.5
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST56	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST57	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST58	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST59	1
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST60	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST61	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST62	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST63	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST64	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST65	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST66	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST67	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST68	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST69	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST70	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST71	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST72	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST73	0.454545455
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST74	0.409090909
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST75	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST76	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST77	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST78	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair1_300	ST79	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST80	1
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST81	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST82	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST83	0.818181818
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST84	1
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST85	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST86	1
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST87	1
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST88	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST89	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST90	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST91	0.272727273
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST92	0.5
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST93	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST94	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST95	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST96	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST97	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST98	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST99	0.454545455
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST100	1
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST101	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST102	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST103	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST104	0.318181818
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST105	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair1_430	ST106	0.909090909
