Participant	time	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	score
ST4	.pre_recitation	F	Y	Y	POC	Pair1_430	0.636363636
ST82	.pre_recitation	M	Y	Y	POC	Pair2_430	0.5
ST4	post_recitation	F	Y	Y	POC	Pair1_430	0.545454545
ST82	post_recitation	M	Y	Y	POC	Pair2_430	0.681818182
ST101	.pre_recitation	F	Y	Y	POC	Pair2_300	0.545454545
ST107	.pre_recitation	M	N	Y	POC	Pair2_430	0.545454545
ST109	.pre_recitation	F	N	Y	POC	Pair2_430	0.727272727
ST112	.pre_recitation	F	N	Y	POC	Pair2_300	0.681818182
ST114	.pre_recitation	M	N	Y	POC	Pair1_430	0.681818182
ST118	.pre_recitation	M	Y	Y	POC	Pair1_730	0.545454545
ST122	.pre_recitation	F	N	Y	POC	Pair1_300	0.454545455
ST134	.pre_recitation	M	N	Y	POC	Pair1_300	0.681818182
ST135	.pre_recitation	M	Y	Y	POC	Pair1_430	0.5
ST139	.pre_recitation	M	N	Y	POC	Pair2_300	0.772727273
ST142	.pre_recitation	M	Y	N	POC	Pair2_300	0.954545455
ST143	.pre_recitation	M	N	Y	POC	Pair1_600	0.636363636
ST16	.pre_recitation	F	N	Y	POC	Pair2_300	0.318181818
ST166	.pre_recitation	F	N	Y	POC	Pair2_430	0.681818182
ST17	.pre_recitation	F	Y	Y	POC	Pair2_300	0.5
ST192	.pre_recitation	F	Y	Y	POC	Pair2_730	0.590909091
ST197	.pre_recitation	M	Y	Y	POC	Pair2_430	1
ST20	.pre_recitation	F	Y	Y	POC	Pair2_430	0.545454545
ST202	.pre_recitation	M	Y	Y	POC	Pair1_300	1
ST25	.pre_recitation	M	N	Y	POC	Pair1_300	0.545454545
ST37	.pre_recitation	M	Y	Y	POC	Pair2_600	0.681818182
ST47	.pre_recitation	F	N	Y	POC	Pair1_600	0.5
ST49	.pre_recitation	F	N	Y	POC	Pair1_430	0.5
ST62	.pre_recitation	F	N	Y	POC	Pair1_430	0.454545455
ST7	.pre_recitation	M	Y	Y	POC	Pair2_300	0.363636364
ST70	.pre_recitation	F	N	N	POC	Pair1_300	0.681818182
ST76	.pre_recitation	F	Y	Y	POC	Pair1_430	0.545454545
ST80	.pre_recitation	F	N	Y	POC	Pair2_300	0.363636364
ST101	post_recitation	F	Y	Y	POC	Pair2_300	0.727272727
ST107	post_recitation	M	N	Y	POC	Pair2_430	0.727272727
ST109	post_recitation	F	N	Y	POC	Pair2_430	0.772727273
ST112	post_recitation	F	N	Y	POC	Pair2_300	0.772727273
ST114	post_recitation	M	N	Y	POC	Pair1_430	0.772727273
ST118	post_recitation	M	Y	Y	POC	Pair1_730	0.818181818
ST122	post_recitation	F	N	Y	POC	Pair1_300	0.818181818
ST134	post_recitation	M	N	Y	POC	Pair1_300	0.863636364
ST135	post_recitation	M	Y	Y	POC	Pair1_430	0.863636364
ST139	post_recitation	M	N	Y	POC	Pair2_300	0.863636364
ST142	post_recitation	M	Y	N	POC	Pair2_300	0.863636364
ST143	post_recitation	M	N	Y	POC	Pair1_600	0.863636364
ST16	post_recitation	F	N	Y	POC	Pair2_300	0.545454545
ST166	post_recitation	F	N	Y	POC	Pair2_430	0.954545455
ST17	post_recitation	F	Y	Y	POC	Pair2_300	0.590909091
ST192	post_recitation	F	Y	Y	POC	Pair2_730	1
ST197	post_recitation	M	Y	Y	POC	Pair2_430	1
ST20	post_recitation	F	Y	Y	POC	Pair2_430	0.636363636
ST202	post_recitation	M	Y	Y	POC	Pair1_300	1
ST25	post_recitation	M	N	Y	POC	Pair1_300	0.409090909
ST37	post_recitation	M	Y	Y	POC	Pair2_600	0.681818182
ST47	post_recitation	F	N	Y	POC	Pair1_600	0.363636364
ST49	post_recitation	F	N	Y	POC	Pair1_430	0.454545455
ST62	post_recitation	F	N	Y	POC	Pair1_430	0.545454545
ST7	post_recitation	M	Y	Y	POC	Pair2_300	0.636363636
ST70	post_recitation	F	N	N	POC	Pair1_300	0.590909091
ST76	post_recitation	F	Y	Y	POC	Pair1_430	0.636363636
ST80	post_recitation	F	N	Y	POC	Pair2_300	0.681818182
ST105	.pre_recitation	M	Y	N	POC	Pair2_430	0.363636364
ST163	.pre_recitation	M	N	Y	POC	Pair1_600	0.863636364
ST105	post_recitation	M	Y	N	POC	Pair2_430	0.727272727
ST163	post_recitation	M	N	Y	POC	Pair1_600	0.909090909
ST10	.pre_recitation	F	Y	Y	POC	Pair1_430	0.727272727
ST100	.pre_recitation	F	N	Y	POC	Pair2_600	0.772727273
ST103	.pre_recitation	F	Y	Y	POC	Pair1_300	0.590909091
ST108	.pre_recitation	M	Y	Y	POC	Pair2_600	0.454545455
ST126	.pre_recitation	F	Y	Y	POC	Pair1_300	0.772727273
ST129	.pre_recitation	M	Y	Y	POC	Pair2_430	0.863636364
ST130	.pre_recitation	M	Y	Y	POC	Pair2_600	0.590909091
ST133	.pre_recitation	F	N	Y	POC	Pair1_600	0.727272727
ST181	.pre_recitation	M	N	Y	POC	Pair2_730	0.818181818
ST183	.pre_recitation	M	N	Y	POC	Pair2_730	0.818181818
ST185	.pre_recitation	F	N	Y	POC	Pair2_430	0.409090909
ST203	.pre_recitation	M	N	Y	POC	Pair1_730	0.5
ST21	.pre_recitation	F	N	Y	POC	Pair2_430	0.5
ST28	.pre_recitation	F	Y	Y	POC	Pair2_730	0.590909091
ST29	.pre_recitation	M	Y	Y	POC	Pair2_730	0.409090909
ST31	.pre_recitation	F	Y	Y	POC	Pair2_430	0.454545455
ST33	.pre_recitation	M	Y	Y	POC	Pair1_730	0.636363636
ST41	.pre_recitation	F	Y	Y	POC	Pair2_430	0.272727273
ST42	.pre_recitation	M	Y	Y	POC	Pair1_300	0.454545455
ST5	.pre_recitation	M	Y	Y	POC	Pair1_300	0.636363636
ST61	.pre_recitation	F	N	Y	POC	Pair1_430	0.5
ST66	.pre_recitation	F	Y	Y	POC	Pair2_730	0.454545455
ST74	.pre_recitation	M	Y	Y	POC	Pair1_430	0.636363636
ST79	.pre_recitation	M	Y	Y	POC	Pair2_730	0.681818182
ST85	.pre_recitation	F	Y	Y	POC	Pair2_300	0.681818182
ST93	.pre_recitation	F	Y	Y	POC	Pair2_600	0.454545455
ST10	post_recitation	F	Y	Y	POC	Pair1_430	0.454545455
ST100	post_recitation	F	N	Y	POC	Pair2_600	0.727272727
ST103	post_recitation	F	Y	Y	POC	Pair1_300	0.727272727
ST108	post_recitation	M	Y	Y	POC	Pair2_600	0.772727273
ST126	post_recitation	F	Y	Y	POC	Pair1_300	0.818181818
ST129	post_recitation	M	Y	Y	POC	Pair2_430	0.818181818
ST130	post_recitation	M	Y	Y	POC	Pair2_600	0.818181818
ST133	post_recitation	F	N	Y	POC	Pair1_600	0.863636364
ST181	post_recitation	M	N	Y	POC	Pair2_730	0.954545455
ST183	post_recitation	M	N	Y	POC	Pair2_730	0.954545455
ST185	post_recitation	F	N	Y	POC	Pair2_430	1
ST203	post_recitation	M	N	Y	POC	Pair1_730	0.727272727
ST21	post_recitation	F	N	Y	POC	Pair2_430	0.681818182
ST28	post_recitation	F	Y	Y	POC	Pair2_730	0.545454545
ST29	post_recitation	M	Y	Y	POC	Pair2_730	0.545454545
ST31	post_recitation	F	Y	Y	POC	Pair2_430	0.590909091
ST33	post_recitation	M	Y	Y	POC	Pair1_730	0.590909091
ST41	post_recitation	F	Y	Y	POC	Pair2_430	0.818181818
ST42	post_recitation	M	Y	Y	POC	Pair1_300	0.818181818
ST5	post_recitation	M	Y	Y	POC	Pair1_300	0.590909091
ST61	post_recitation	F	N	Y	POC	Pair1_430	0.545454545
ST66	post_recitation	F	Y	Y	POC	Pair2_730	0.590909091
ST74	post_recitation	M	Y	Y	POC	Pair1_430	0.636363636
ST79	post_recitation	M	Y	Y	POC	Pair2_730	0.636363636
ST85	post_recitation	F	Y	Y	POC	Pair2_300	0.681818182
ST93	post_recitation	F	Y	Y	POC	Pair2_600	0.727272727
ST128	.pre_recitation	M	N	Y	POC	Pair1_430	0.545454545
ST51	.pre_recitation	F	Y	Y	POC	Pair2_300	0.454545455
ST128	post_recitation	M	N	Y	POC	Pair1_430	0.818181818
ST51	post_recitation	F	Y	Y	POC	Pair2_300	0.454545455
ST1	.pre_recitation	M	N	Y	W	Pair1_430	0.590909091
ST102	.pre_recitation	F	N	Y	W	Pair1_730	0.727272727
ST104	.pre_recitation	F	Y	Y	W	Pair1_600	0.727272727
ST106	.pre_recitation	M	N	Y	W	Pair2_600	0.727272727
ST11	.pre_recitation	F	Y	Y	W	Pair1_300	0.590909091
ST111	.pre_recitation	F	N	Y	W	Pair1_300	0.772727273
ST113	.pre_recitation	M	N	Y	W	Pair1_600	0.727272727
ST115	.pre_recitation	M	Y	Y	W	Pair2_430	0.727272727
ST116	.pre_recitation	M	Y	Y	W	Pair2_600	0.863636364
ST117	.pre_recitation	M	N	Y	W	Pair2_430	0.636363636
ST120	.pre_recitation	M	N	Y	W	Pair2_730	0.5
ST121	.pre_recitation	M	N	Y	W	Pair1_300	0.727272727
ST123	.pre_recitation	F	N	Y	W	Pair1_600	0.5
ST124	.pre_recitation	F	N	Y	W	Pair1_600	0.772727273
