Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST23	.pre_recitation	N	M	POC	Genie	Pair2_700	0.590909091
ST24	.pre_recitation	N	F	POC	Genie	Pair2_130	0.909090909
ST76	.pre_recitation	N	F	POC	Genie	Pair1_130	1
ST84	.pre_recitation	N	M	POC	Genie	Pair1_700	0.590909091
ST88	.pre_recitation	N	M	POC	Genie	Pair2_700	0.636363636
ST89	.pre_recitation	N	F	POC	Genie	Pair2_130	0.818181818
ST117	.pre_recitation	N	M	POC	Genie	Pair1_130	0.636363636
ST133	.pre_recitation	N	M	POC	Genie	Pair1_130	1
ST138	.pre_recitation	N	M	POC	Genie	Pair1_130	1
ST151	.pre_recitation	Y	F	POC	Genie	Pair1_700	0.772727273
ST166	.pre_recitation	N	F	POC	Genie	Pair1_700	0.545454545
ST173	.pre_recitation	N	M	POC	Genie	Pair2_700	1
ST175	.pre_recitation	N	F	POC	Genie	Pair2_130	0.772727273
ST187	.pre_recitation	N	F	POC	Genie	Pair2_130	1
ST201	.pre_recitation	N	M	POC	Genie	Pair2_130	0.636363636
ST202	.pre_recitation	N	F	POC	Genie	Pair2_700	0.909090909
ST203	.pre_recitation	N	F	POC	Genie	Pair2_700	0.590909091
ST208	.pre_recitation	N	F	POC	Genie	Pair2_700	0.590909091
ST232	.pre_recitation	N	M	POC	Genie	Pair1_130	0.772727273
ST238	.pre_recitation	Y	M	POC	Genie	Pair1_700	0.454545455
ST252	.pre_recitation	Y	F	POC	Genie	Pair2_700	1
ST23	post_recitation	N	M	POC	Genie	Pair2_700	0.772727273
ST24	post_recitation	N	F	POC	Genie	Pair2_130	1
ST76	post_recitation	N	F	POC	Genie	Pair1_130	1
ST84	post_recitation	N	M	POC	Genie	Pair1_700	0.681818182
ST88	post_recitation	N	M	POC	Genie	Pair2_700	0.181818182
ST89	post_recitation	N	F	POC	Genie	Pair2_130	1
ST117	post_recitation	N	M	POC	Genie	Pair1_130	0.727272727
ST133	post_recitation	N	M	POC	Genie	Pair1_130	1
ST138	post_recitation	N	M	POC	Genie	Pair1_130	1
ST151	post_recitation	Y	F	POC	Genie	Pair1_700	0.818181818
ST166	post_recitation	N	F	POC	Genie	Pair1_700	0.545454545
ST173	post_recitation	N	M	POC	Genie	Pair2_700	1
ST175	post_recitation	N	F	POC	Genie	Pair2_130	1
ST187	post_recitation	N	F	POC	Genie	Pair2_130	0.954545455
ST201	post_recitation	N	M	POC	Genie	Pair2_130	0.727272727
ST202	post_recitation	N	F	POC	Genie	Pair2_700	1
ST203	post_recitation	N	F	POC	Genie	Pair2_700	0.772727273
