Participant	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	score_pre	score_post	diff
ST1	M	N	Y	F	Pair1_430	0.590909091	0.454545455	-0.136363636
ST10	F	Y	Y	D	Pair1_430	0.727272727	0.454545455	-0.272727273
ST100	F	N	Y	D	Pair2_600	0.772727273	0.727272727	-0.045454545
ST101	F	Y	Y	B	Pair2_300	0.545454545	0.727272727	0.181818182
ST102	F	N	Y	F	Pair1_730	0.727272727	0.727272727	0
ST103	F	Y	Y	D	Pair1_300	0.590909091	0.727272727	0.136363636
ST104	F	Y	Y	F	Pair1_600	0.727272727	0.727272727	0
ST105	M	Y	N	C	Pair2_430	0.363636364	0.727272727	0.363636364
ST106	M	N	Y	F	Pair2_600	0.727272727	0.727272727	0
ST107	M	N	Y	B	Pair2_430	0.545454545	0.727272727	0.181818182
ST108	M	Y	Y	D	Pair2_600	0.454545455	0.772727273	0.318181818
ST109	F	N	Y	B	Pair2_430	0.727272727	0.772727273	0.045454545
ST11	F	Y	Y	F	Pair1_300	0.590909091	0.545454545	-0.045454545
ST110	F	N	Y	G	Pair2_430	0.636363636	0.772727273	0.136363636
ST111	F	N	Y	F	Pair1_300	0.772727273	0.772727273	0
ST112	F	N	Y	B	Pair2_300	0.681818182	0.772727273	0.090909091
ST113	M	N	Y	F	Pair1_600	0.727272727	0.772727273	0.045454545
ST114	M	N	Y	B	Pair1_430	0.681818182	0.772727273	0.090909091
ST115	M	Y	Y	F	Pair2_430	0.727272727	0.772727273	0.045454545
ST116	M	Y	Y	F	Pair2_600	0.863636364	0.772727273	-0.090909091
ST117	M	N	Y	F	Pair2_430	0.636363636	0.818181818	0.181818182
ST118	M	Y	Y	B	Pair1_730	0.545454545	0.818181818	0.272727273
ST119	F	N	Y	G	Pair1_300	0.590909091	0.818181818	0.227272727
ST12	F	N	Y	G	Pair2_600	0.545454545	0.545454545	0
ST120	M	N	Y	F	Pair2_730	0.5	0.818181818	0.318181818
ST121	M	N	Y	F	Pair1_300	0.727272727	0.818181818	0.090909091
ST122	F	N	Y	B	Pair1_300	0.454545455	0.818181818	0.363636364
ST123	F	N	Y	F	Pair1_600	0.5	0.818181818	0.318181818
ST124	F	N	Y	F	Pair1_600	0.772727273	0.818181818	0.045454545
ST125	F	Y	Y	F	Pair2_300	0.727272727	0.818181818	0.090909091
ST126	F	Y	Y	D	Pair1_300	0.772727273	0.818181818	0.045454545
ST127	F	Y	Y	F	Pair2_730	0.772727273	0.818181818	0.045454545
ST128	M	N	Y	E	Pair1_430	0.545454545	0.818181818	0.272727273
ST129	M	Y	Y	D	Pair2_430	0.863636364	0.818181818	-0.045454545
ST13	F	N	Y	F	Pair2_600	0.5	0.545454545	0.045454545
ST130	M	Y	Y	D	Pair2_600	0.590909091	0.818181818	0.227272727
ST131	F	N	Y	F	Pair1_600	0.772727273	0.863636364	0.090909091
ST132	F	N	Y	F	Pair1_300	0.681818182	0.863636364	0.181818182
ST133	F	N	Y	D	Pair1_600	0.727272727	0.863636364	0.136363636
ST134	M	N	Y	B	Pair1_300	0.681818182	0.863636364	0.181818182
ST135	M	Y	Y	B	Pair1_430	0.5	0.863636364	0.363636364
ST136	F	N	Y	F	Pair1_300	0.772727273	0.863636364	0.090909091
ST137	F	N	Y	G	Pair1_300	0.818181818	0.863636364	0.045454545
ST138	F	Y	Y	F	Pair2_430	0.909090909	0.863636364	-0.045454545
ST139	M	N	Y	B	Pair2_300	0.772727273	0.863636364	0.090909091
ST14	F	Y	Y	G	Pair2_730	0.363636364	0.545454545	0.181818182
ST140	M	N	Y	F	Pair1_600	0.727272727	0.863636364	0.136363636
ST141	M	N	Y	F	Pair1_430	0.545454545	0.863636364	0.318181818
ST142	M	Y	N	B	Pair2_300	0.954545455	0.863636364	-0.090909091
ST143	M	N	Y	B	Pair1_600	0.636363636	0.863636364	0.227272727
ST144	M	N	Y	F	Pair1_430	0.727272727	0.863636364	0.136363636
ST145	F	N	Y	F	Pair2_430	0.727272727	0.909090909	0.181818182
ST146	F	N	Y	G	Pair1_300	0.818181818	0.909090909	0.090909091
ST147	F	N	Y	F	Pair1_430	0.909090909	0.909090909	0
ST148	M	Y	Y	F	Pair1_600	0.818181818	0.909090909	0.090909091
ST149	M	N	Y	F	Pair2_600	0.590909091	0.909090909	0.318181818
ST15	F	Y	Y	F	Pair1_300	0.363636364	0.545454545	0.181818182
ST150	F	N	Y	F	Pair2_600	0.590909091	0.909090909	0.318181818
ST151	F	N	Y	F	Pair1_600	0.772727273	0.909090909	0.136363636
ST152	F	Y	Y	F	Pair1_300	0.909090909	0.909090909	0
ST153	F	N	Y	F	Pair2_730	0.772727273	0.909090909	0.136363636
ST154	F	N	Y	F	Pair2_730	0.818181818	0.909090909	0.090909091
