Participant	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score_pre	score_post	diff
ST20	Y	F	A	No_Genie	Pair1_430	0.818181818	0.863636364	0.045454545
ST21	N	F	A	No_Genie	Pair1_430	1	1	0
ST23	N	M	A	Genie	Pair2_700	0.590909091	0.772727273	0.181818182
ST24	N	F	A	Genie	Pair2_130	0.909090909	1	0.090909091
ST28	N	F	A	No_Genie	Pair1_430	1	1	0
ST34	N	M	A	No_Genie	Pair1_300	0.818181818	1	0.181818182
ST59	N	M	A	No_Genie	Pair2_300	0.590909091	1	0.409090909
ST76	N	F	A	Genie	Pair1_130	1	1	0
ST84	N	M	A	Genie	Pair1_700	0.590909091	0.681818182	0.090909091
ST87	N	M	A	No_Genie	Pair2_300	0.954545455	1	0.045454545
ST88	N	M	A	Genie	Pair2_700	0.636363636	0.181818182	-0.454545455
ST89	N	F	A	Genie	Pair2_130	0.818181818	1	0.181818182
ST90	N	F	A	No_Genie	Pair2_300	0.954545455	1	0.045454545
ST91	Y	F	A	No_Genie	Pair2_300	0.954545455	1	0.045454545
ST107	N	F	A	No_Genie	Pair2_300	0.409090909	0.545454545	0.136363636
ST117	N	M	A	Genie	Pair1_130	0.636363636	0.727272727	0.090909091
ST128	N	F	A	No_Genie	Pair1_300	0.727272727	0.954545455	0.227272727
ST130	Y	F	A	No_Genie	Pair1_430	0.545454545	0.909090909	0.363636364
ST133	N	M	A	Genie	Pair1_130	1	1	0
ST138	N	M	A	Genie	Pair1_130	1	1	0
ST150	N	F	A	No_Genie	Pair1_300	0.636363636	1	0.363636364
ST151	Y	F	A	Genie	Pair1_700	0.772727273	0.818181818	0.045454545
ST166	N	F	A	Genie	Pair1_700	0.545454545	0.545454545	0
ST170	N	F	A	No_Genie	Pair2_300	0.681818182	0.772727273	0.090909091
ST173	N	M	A	Genie	Pair2_700	1	1	0
ST175	N	F	A	Genie	Pair2_130	0.772727273	1	0.227272727
ST187	N	F	A	Genie	Pair2_130	1	0.954545455	-0.045454545
ST198	N	F	A	No_Genie	Pair2_300	0.272727273	0.863636364	0.590909091
ST201	N	M	A	Genie	Pair2_130	0.636363636	0.727272727	0.090909091
ST202	N	F	A	Genie	Pair2_700	0.909090909	1	0.090909091
ST203	N	F	A	Genie	Pair2_700	0.590909091	0.772727273	0.181818182
ST206	N	F	A	No_Genie	Pair2_430	0.545454545	0.454545455	-0.090909091
ST208	N	F	A	Genie	Pair2_700	0.590909091	0.454545455	-0.136363636
ST223	N	M	A	No_Genie	Pair2_300	0.954545455	0.909090909	-0.045454545
ST228	N	F	A	No_Genie	Pair2_430	0.590909091	1	0.409090909
ST232	N	M	A	Genie	Pair1_130	0.772727273	0.909090909	0.136363636
ST233	N	M	A	No_Genie	Pair2_430	0.681818182	0.727272727	0.045454545
ST238	Y	M	A	Genie	Pair1_700	0.454545455	0.727272727	0.272727273
ST247	N	M	A	No_Genie	Pair2_430	1	0.863636364	-0.136363636
ST252	Y	F	A	Genie	Pair2_700	1	1	0
ST255	N	M	A	No_Genie	Pair2_300	0.454545455	0.909090909	0.454545455
ST66	N	F	B	Genie	Pair1_130	1	1	0
ST113	N	M	B	Genie	Pair1_130	0.318181818	0.818181818	0.5
ST222	Y	F	B	No_Genie	Pair1_300	0.454545455	0.954545455	0.5
ST100	Y	F	C	No_Genie	Pair1_430	0.454545455	0.681818182	0.227272727
ST153	N	F	C	No_Genie	Pair2_300	0.5	0.590909091	0.090909091
ST176	Y	F	C	Genie	Pair2_700	0.590909091	0.909090909	0.318181818
ST242	N	M	C	Genie	Pair1_130	0.454545455	1	0.545454545
ST3	N	M	D	Genie	Pair1_700	0.409090909	0.590909091	0.181818182
ST17	N	M	D	No_Genie	Pair2_300	1	1	0
ST22	N	M	D	No_Genie	Pair2_430	0.727272727	0.909090909	0.181818182
ST29	Y	M	D	No_Genie	Pair1_430	1	1	0
ST50	N	F	D	Genie	Pair1_700	1	1	0
ST51	Y	F	D	Genie	Pair2_700	0.409090909	0.772727273	0.363636364
ST69	N	F	D	Genie	Pair1_700	1	1	0
ST82	Y	M	D	No_Genie	Pair1_300	0.727272727	0.772727273	0.045454545
ST86	Y	F	D	No_Genie	Pair1_300	0.772727273	0.863636364	0.090909091
ST111	Y	M	D	No_Genie	Pair2_430	0.636363636	0.818181818	0.181818182
ST120	Y	M	D	No_Genie	Pair2_430	0.909090909	0.909090909	0
