year	class	student	Pre_1	Pre_2	Pre_3	Pre_4	Pre_5	Pre_6	Pre_7	Pre_8	Pre_9	Pre_10	Pre_11	Pre_12	Pre_13	Pre_14	Pre_15	Pre_16	Pre_17	Pre_18	Pre_19	Pre_20	Pre_21	Pre_22	Post_1	Post_2	Post_3	Post_4	Post_5	Post_6	Post_7	Post_8	Post_9	Post_10	Post_11	Post_12	Post_13	Post_14	Post_15	Post_16	Post_17	Post_18	Post_19	Post_20	Post_21	Post_22
2016_Genie	Pair1_430	ST1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0
2016_Genie	Pair2_600	ST2	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1
2016_Genie	Pair2_430	ST3	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0
2016_Genie	Pair1_430	ST4	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1
2016_Genie	Pair1_300	ST5	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0
2016_Genie	Pair2_430	ST6	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1
2016_Genie	Pair2_300	ST7	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1
2016_Genie	Pair1_430	ST8	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
2016_Genie	Pair1_430	ST9	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0
2016_Genie	Pair1_430	ST10	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0
2016_Genie	Pair1_300	ST11	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0
2016_Genie	Pair2_600	ST12	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0
2016_Genie	Pair2_600	ST13	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0
2016_Genie	Pair2_730	ST14	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0
2016_Genie	Pair1_300	ST15	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0
2016_Genie	Pair2_300	ST16	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0
2016_Genie	Pair2_300	ST17	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0
2016_Genie	Pair2_600	ST18	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1
2016_Genie	Pair1_430	ST19	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0
2016_Genie	Pair2_430	ST20	1	0	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0
2016_Genie	Pair2_430	ST21	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1
2016_Genie	Pair2_430	ST22	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
2016_Genie	Pair1_300	ST24	0	0	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0
2016_Genie	Pair2_430	ST25	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0
2016_Genie	Pair1_300	ST26	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0
2016_Genie	Pair2_600	ST27	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0
2016_Genie	Pair2_430	ST28	0	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1
2016_Genie	Pair2_730	ST29	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1
2016_Genie	Pair2_730	ST30	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0
2016_Genie	Pair2_300	ST31	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1
2016_Genie	Pair2_430	ST32	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0
2016_Genie	Pair1_730	ST33	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1
2016_Genie	Pair1_730	ST34	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1
2016_Genie	Pair1_300	ST35	0	1	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0
2016_Genie	Pair1_430	ST36	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0
2016_Genie	Pair2_430	ST37	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0
2016_Genie	Pair2_600	ST38	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1
2016_Genie	Pair2_730	ST39	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1
2016_Genie	Pair2_300	ST40	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1
2016_Genie	Pair2_600	ST41	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1
2016_Genie	Pair2_430	ST42	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1
2016_Genie	Pair1_300	ST43	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1
2016_Genie	Pair2_730	ST44	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0
2016_Genie	Pair1_300	ST45	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2016_Genie	Pair1_730	ST46	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
2016_Genie	Pair2_600	ST47	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1
2016_Genie	Pair1_600	ST48	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1
2016_Genie	Pair1_430	ST49	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1
2016_Genie	Pair1_430	ST50	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0
2016_Genie	Pair2_300	ST51	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0
2016_Genie	Pair2_300	ST52	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1
2016_Genie	Pair2_730	ST53	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0
2016_Genie	Pair1_430	ST54	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0
2016_Genie	Pair2_430	ST55	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0
2016_Genie	Pair1_730	ST56	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0
2016_Genie	Pair2_430	ST57	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0
